Sample No,"depth, m",Quartz,K-feldspar,Plagioclase,Chlorite,K-mica,Kaolinite,Calcite,Dolomite,Siderite,Pyrite,Apatite,Gypsum,Pyrrothite,,Dol i,Dol ii,Doli/Dolii,Phyllosilicate,Feldspar
LST12-61,108,1.3,1.2,0.4,,3.7,,5.2,87.6,,0.5,,,,,79.2,8.4,9.43,3.7,1.6
LST12-62,109,10.1,2.2,0.6,,4,,1.2,80.6,,1.3,,,,,64.1,16.4,3.91,4,2.8
LST12-63,110,7.6,1.3,0.4,,3.5,,1.6,85.5,,,,,,,71.2,14.4,4.94,3.5,1.7
LST12-64,111,4.8,1.1,,,2.3,,1.6,89.3,,1,,,,,67.7,21.6,3.13,2.3,1.1
LST12-65-1,112.1,4.5,1.2,,,2.6,,2.2,88.9,,0.7,,,,,71.2,17.7,4.02,2.6,1.2
LST12-65-2,112.1,4.9,1.3,0.2,,3.7,,2.1,87.2,,0.6,,,,,67.7,19.5,3.47,3.7,1.5
LST12-66,113,15.5,1.7,0.4,,14.1,,0.8,67.4,,0.2,,,,,52.7,14.7,3.59,14.1,2.1
LST12-67,114,14.1,1.3,0.3,,7.8,,2.3,74,,0.3,,,,,50.8,23.2,2.19,7.8,1.6
LST12-68,115,5.1,1.5,0.4,,4.8,,10.8,77.2,,0.3,,,,,57.9,19.3,3,4.8,1.9
LST12-56b,116.49,9.2,2.1,0.2,,19.1,,0.2,68.8,,0.4,,,,,58.9,9.9,5.95,19.1,2.3
LST12-69,117,12.4,1.7,0.5,,20.6,0.6,0.2,62.2,,1.8,,,,,41.4,20.8,1.99,21.2,2.2
LST12-57b,117.845,13.6,0.9,1,,21.7,,0.3,61.7,,0.9,,,,,50.5,11.2,4.51,21.7,1.9
LST12-70,119,17.3,1.6,1.2,,16.8,,1.1,62.1,,,,,,,39.6,22.5,1.76,16.8,2.8
LST12-71,119.5,27.7,2.2,1.2,,18.2,,3.1,47.4,,0.2,,,,,32.7,14.7,2.22,18.2,3.4
LST12-72,120,15.7,3.9,2,,23.2,1.9,0.8,52.3,,0.2,,,,,33.5,18.8,1.78,25.1,5.9
LST12-73,121,15.8,2.7,0.7,,14.5,1.2,1.1,64,,,,,,,42.6,21.4,1.99,15.7,3.4
LST12-58b,121.91,21.3,2.2,2.4,,19.2,,3,51.8,,0.2,,,,,44,7.8,5.64,19.2,4.6
LST12-74,123,13,4.2,1.5,,31.5,1.8,0.7,46.7,,0.3,,,,,31.6,15.2,2.08,33.3,5.7
LST12-75,125,16.8,1.5,1,,9,1.1,8.3,62.3,,,,,,,47.6,14.7,3.24,10.1,2.5
LST12-76,126,14.1,12.5,11.7,4.6,48.4,2.7,0.6,4.8,0.2,0.5,,,,,,,,55.7,24.2
LST12-59b,126.035,24.2,12.8,16,4.5,28.9,3.1,0.6,8.9,0.2,0.4,,,0.3,,,,,36.5,28.8
LST12-77,127.8,10.2,1.7,0.4,,11.6,,,76,,0.1,,,,,66.2,9.8,6.76,11.6,2.1
LST12-60b,128.56,17.5,1.9,6.7,,14.8,2.3,,56.5,,,,,,,44.6,12,3.72,17.1,8.6
LST12-60b,128.56,17.9,2.2,7.3,,14.6,2.3,,55.3,,0.2,,,,,48.3,7.1,6.8,16.9,9.5
LST12-78,128.8,14.2,6.3,9.3,2.1,23.5,1.6,0.5,42.2,0.2,,,,,,31.5,10.7,2.94,27.2,15.6
LST12-79,130.3,13.1,4.5,7.3,3.9,21.3,0.9,0.7,48.4,,,,,,,38.9,9.5,4.09,26.1,11.8
LST12-61bD,131.44,14.2,7.3,12.9,1.7,26.1,1.3,0.7,35.7,,,,,,,28,7.7,3.64,29.1,20.2
LST12-61bL,131.44,12.9,1,0.7,,7.5,1.4,,76.4,,,,,,,70.1,6.2,11.31,8.9,1.7
LST12-80H,132,7.4,1.2,0.1,,10.1,,,81.1,,,,,,,74.5,6.6,11.29,10.1,1.3
LST12-80T,132,25.8,8.8,18.3,,27.4,2.2,3.3,14,,,,,,,,,,29.6,27.1
LST12-62bD,132.135,19.6,5.2,11.1,1.3,14.9,1,0.8,46.1,,,,,,,37.3,8.8,4.24,17.2,16.3
LST12-62bL,132.135,15.8,1.2,4.8,,6.4,1.6,,70.2,,,,,,,62.3,7.8,7.99,8,6
LST12-81H,133,19.6,4.2,10.7,,15.5,1.5,0.6,47.8,,,,,,,37.1,10.7,3.47,17,14.9
LST12-81T,133,24.3,10,15.2,2.6,25.7,2.7,1,18.4,,,,,,,11.4,7,1.63,31,25.2
LST12-63bD,134.045,23.2,15.2,21.1,1.8,30.4,2.4,1.9,3.7,0.2,,,,,,,,,34.6,36.3
LST12-63bL,134.045,8.2,1.1,0.2,,5.8,1,,83.7,,,,,,,80.5,3.2,25.16,6.8,1.3
LST12-82,135,17.3,1.4,3.7,,7.7,1.1,,68.7,,,,,,,55.3,13.4,4.13,8.8,5.1
LST12-64bD,135.45,22.1,10.1,17.6,2.6,28.8,3.2,1.6,13.6,0.2,,,,,,,,,34.6,27.7
LST12-64bL,135.45,5.1,1,0.7,,3.7,0.8,,87.9,,0.6,,,,,85.3,2.7,31.59,4.5,1.7
LST12-83,136,16,5.3,9.7,5.8,23,2.2,0.8,36.9,,0.2,,,,,28.3,8.6,3.29,31,15
LST12-65bD,136.195,28.2,12.9,19.8,1.5,26.2,3,3.4,4.9,0.2,,,,,,,,,30.7,32.7
LST12-65bL,136.195,13.3,1.4,0.4,,6.1,0.5,,78.1,,,,,,,75.7,2.5,30.28,6.6,1.8
LST12-66bD,136.85,30.4,11.4,22,2.5,25,3.4,3.5,1.8,,,,,,,,,,30.9,33.4
LST12-66bL,136.85,13.5,0.8,0.9,,6.8,1.3,,76.5,,,,,,,69.2,7.4,9.35,8.1,1.7
LST12-84,137,25.6,8.2,15.9,1.8,25.8,2.3,2.6,17.6,,,,,,,14,3.5,4,29.9,24.1
LST12-85H,138,4.3,0.9,0.3,,5.9,0.4,,88.2,,,,,,,76.6,11.6,6.6,6.3,1.2
LST12-85T,138,19.7,7.1,12.2,3.2,29.5,3,2.8,22.1,,0.2,,,,,17.2,4.9,3.51,35.7,19.3
LST12-86,138.7,23.8,4.5,17.7,2.2,16.9,2.7,7,25,,,,,,,18.2,6.8,2.68,21.8,22.2
